GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,GEM Entity ID,Owners (Non-ENG),Parent Company,GEM Entity ID,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code
M2513,,India,Rajapur-South Jharia Coal Mine,Cluster 7,,,https://www.gem.wiki/Rajapur-South_Jharia_coal_mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2,2.17,2023,,Surface,Open Pit,2.08,60,Estimate,760,Estimate,Bituminous,Thermal,,,,,-,,-,-,,,10,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.7488,86.42139,Exact,,,,,,,,,,,11.4,0.01,3.5,1.5,0.6,0.2,356
M2514,,India,Gare Palma IV 2 & 3 Coal Mine,Tranche 2023,,,https://www.gem.wiki/Gare_Palma_IV/2_%26_IV/3,,Operating,,,,Jindal Power Ltd [100%],E100000120684 [100%],,Jindal Power Ltd [100.0%],E100000120684 [100.0%],India,5,6.25,2024,,Underground & Surface,Mixed,8.75,60,Estimate,1440,Estimate,Subbituminous,Thermal,,,,,187,,247,30,2023,,-,,,,Raigarh,Chhattisgarh,Southern Asia,Asia,22.1199,83.5362,Exact,Coal Plant,,,,,,,,,,8.4,0.01,0.9,1.5,0.5,0.2,356
M2515,,India,Mata No Madh Lignite Coal Mine,Mata Na Madh Lignite Project,,,https://www.gem.wiki/Mata_No_Madh_Lignite_Mine,,Operating,,,,Gujarat Mineral Development Corporation Ltd [100%],E100001000669 [100%],,Gujarat Mineral Development Co Ltd [100.0%],E100001000669 [100.0%],India,*,3.23,2023,,Surface,Open Pit,17.53,50,Estimate,577,Estimate,Lignite,Thermal,,,,,29,,-,9,,,-,,,,Kutch,Gujarat,Southern Asia,Asia,23.51073,68.95853,Exact,,,,,,,,,,,3.9,0.00,0.8,1.5,0.2,0.1,356
M2543,,India,Sirka Coal Mine,Argada Area,,,https://www.gem.wiki/Sirka_coal_mine,,Mothballed,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.25,,,,Surface,Open Pit,-,50,Estimate,422,Estimate,Subbituminous,Thermal,,,,,3.74,2021,-,-,,,-,,South Karanpura,,,Jharkhand,Southern Asia,Asia,23.69103,85.35514,Approximate,,,,,,,,,,,1.5,0.00,0.8,1.5,0.1,0,356
M2544,,India,Urdhan Coal Mine,Urdhan OC,,,https://www.gem.wiki/Urdhan_Coal_Mine,,Mothballed,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.6,0.5,,,Surface,Open Pit,3.15,50,Estimate,84,Exact,Subbituminous,Thermal,,,,,6,,-,12,2010,,-,,Pench,Urdhan,Chhindwara,Madhya Pradesh,Southern Asia,Asia,22.2786,78.9578,Exact,,,,,,,,,,,0.6,0.00,0.8,1.5,0,0,356
M2550,,India,Kabribad Coal Mine,Bokaro & Kargali Area,,,https://www.gem.wiki/Bokaro_and_Kargali_coal_mines,,Mothballed,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.5,0.2,2022,,Surface,Open Pit,-,180,Exact,,,Subbituminous,Thermal,,,,,4,,-,20,,,-,,,,Giridih,Jharkhand,Southern Asia,Asia,24.1572,86.3006,Exact,,,,,,,,,,,0.7,0.00,2.3,1.5,0,0,356
M2551,,India,Kargali Open Cast Coal Mine,Bokaro & Kargali Area,,,https://www.gem.wiki/Bokaro_and_Kargali_coal_mines,,Mothballed,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.1,0,,,Surface,Open Pit,-,180,Exact,,,Subbituminous,Thermal,,,,,3,,-,30,,,-,,,,,Jharkhand,Southern Asia,Asia,23.7699,85.9904,Exact,,,,,,,,,,,0,0.00,2.3,1.5,0,0,356
M2577,,India,Hesagara Coal Mine,Kuju Area,,,https://www.gem.wiki/Hesagara_Coal_Mine,,Mothballed,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,10,0,,,Underground,,-,300,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,Ramgarh,Jharkhand,Southern Asia,Asia,23.7602,85.505,Approximate,,,,,,,,,,,0,0.00,3.3,1.6,0,0,356
M2580,,India,Nandan II Coal Mine,Nandan UG,,,https://www.gem.wiki/Pench-Kanhan_coal_mines,,Mothballed,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.405,,,,Underground,Bord and Pillar,5.44,300,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,Chhindwara,Madhya Pradesh,Southern Asia,Asia,22.2131,78.4357,Exact,,,,,,,,,,,2.1,0.00,3.3,1.6,0.1,0,356
M2582,,India,Waghoda Coal Mine,Waghoda UG,,,https://www.gem.wiki/Waghoda_Coal_Mine,,Proposed,Construction,Expansion,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.39,*,,,Underground,Bord and Pillar,2.61,300,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,46,,Kamptee,Waghoda,Nagpur,Maharashtra,Southern Asia,Asia,21.3694,78.9272,Exact,Coal Plant,Dhopave Thermal Power Station (Mahagenco),https://www.gem.wiki/Dhopave_Thermal_Power_Station_(Mahagenco),,,,,,,,2.1,0.00,3.3,1.6,0.1,0,356
M2583,,India,Chhendipara Coal Mine,2023 Tranche,,,https://www.gem.wiki/Chhendipara_Coal_Mine,,Shelved,Exploration,New,,Rungta Sons Pvt Ltd [100%],E100001010016 [100%],,Rungta Sons Pvt Ltd [100.0%],E100001010016 [100.0%],India,10,*,,,Surface,Open Pit,-,50,Estimate,,,Subbituminous,Thermal,,,,,-,,880,-,TBD,,-,,Talcher,Chhendipada,Angul,Odisha,Southern Asia,Asia,21.0758,84.8769,Approximate,,,,,,,,,,,12,0.01,0.8,1.5,0.7,0.2,356
M2584,,India,Deulbera Coal Mine,,,,https://www.gem.wiki/Deulbera_Coal_Mine,,Mothballed,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.2,0,,,Underground,,-,300,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,Angul,Odisha,Southern Asia,Asia,20.9513,85.2069,Approximate,,,,,,,,,,,0,0.00,3.3,1.6,0,0,356
M2588,,India,Saunda-D Coal Mine,Barka Sayal Area,,,https://www.gem.wiki/Saunda_D_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.9,0.17,2022,,Underground & Surface,,3.32,60,Estimate,438,Estimate,Subbituminous,Thermal,,,,,1,,-,6,1946,,20,,South Karanpura,,Ramgarh,Jharkhand,Southern Asia,Asia,23.65946,85.33753,Exact,,,,,,,,,,,0.2,0.00,0.9,1.5,0,0,356
M2589,,India,Kolgaon Coal Mine,,,,https://www.gem.wiki/Kolgaon_Coal_Mine,,Mothballed,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.6,0.6,2022,,Surface,Open Pit,-,50,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,Yavatmal,Maharashtra,Southern Asia,Asia,19.1001,79.8568,Exact,,,,,,,,,,,0.7,0.00,0.8,1.5,0,0,356
M2597,,India,Rajhara Coal Mine,Rajhara Area,,,https://www.gem.wiki/Rajhara_coal_mines,,Mothballed,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.3,0.01,,,Surface,Open Pit,1.49,50,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,,Jharkhand,Southern Asia,Asia,24.1642,84.0465,Exact,,,,,,,,,,,0,0.00,0.8,1.5,0,0,356
M2598,,India,Mudidih Coal Mine,"Mudidih Colliery, cluster v",,,https://www.gem.wiki/Mudidih_Coal_Mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.75,0.82,2023,,Underground,,-,300,Estimate,727,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,30,2020,,,Dhanbad,Jharkhand,Southern Asia,Asia,23.74128,86.35299,Exact,,,,,,,,,,,4.3,0.00,3.3,1.6,0.2,0.1,356
M2599,,India,Urimari Underground Coal Mine,Barka Sayal Area,,,https://www.gem.wiki/Urimari_Underground_coal_mine,,Mothballed,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,0.01,,,Underground,Bord and Pillar,-,300,Estimate,,,Subbituminous,Thermal,,,,,4,,-,400,,,-,,South Karanpura,,Ramgarh,Jharkhand,Southern Asia,Asia,23.6954,85.30209,Exact,,,,,,,,,,,0.1,0.00,3.3,1.6,0,0,356
M2600,,India,Sarubera Coal Mine,"Kuju Area,Sarubera UGP",,,https://www.gem.wiki/Sarubera_coal_mine,,Mothballed,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,0.01,,,Underground,,-,300,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,,Jharkhand,Southern Asia,Asia,23.71,85.5518,Exact,,,,,,,,,,,0.1,0.00,3.3,1.6,0,0,356
M2601,,India,Ningah Coal Mine,"Cluster 8, Ningha UG",,,https://www.gem.wiki/Ningah_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.36,0.02,2023,,Underground,,10.72,300,Estimate,429,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,50,2023,,,,West Bengal,Southern Asia,Asia,23.6743,87.0333,Exact,,,,,,,,,,,0.1,0.00,3.3,1.6,0,0,356
M2602,,India,Gopalichak Coal Mine,"Cluster 11, Gopalichuk",,,https://www.gem.wiki/Gopalichak_coal_mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,0.17,2022,,Surface,Open Pit,2.42,50,Estimate,322,Estimate,Bituminous,Met,,,,,14,,-,82,,,-,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.77983,86.34324,Exact,,,,,,,,,,,0.8,0.00,3,1.5,0,0,356
M2614,,India,Sodepur Coal Mine,Cluster 6,,,https://www.gem.wiki/Sodepur_coal_mine,,Mothballed,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,10,0,,,Underground,,7.98,300,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,,West Bengal,Southern Asia,Asia,23.6882,86.8545,Exact,,,,,,,,,,,0,0.00,3.3,1.6,0,0,356
M2615,,India,P. B. UG Coal Mine,"Cluster 11, Pootkee Baliharia UG",,,https://www.gem.wiki/PB_UG_coal_mine,,Mothballed,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.9,0.02,,,Underground,,0.89,480,Exact,,,Subbituminous,Thermal,,,,,32,,-,1600,1983,,30,,Jharia,Aralgoria,Dhanbad,Jharkhand,Southern Asia,Asia,23.75542,86.36365,Exact,,,,,,,,,,,0.1,0.00,4.4,1.6,0,0,356
M2616,,India,Maheshpur Coal Mine,Cluster 3,,,https://www.gem.wiki/Maheshpur_coal_mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,0.04,2022,,Underground,,-,300,Estimate,395,Estimate,Bituminous,Met,,,,,19,,-,475,,,-,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.78625,86.25564,Exact,,,,,,,,,,,0.7,0.00,10.9,1.6,0,0,356
M2617,,India,Bhagabandh Coal Mine,"Cluster 11, PB Area",,,https://www.gem.wiki/Bhagabadh_coal_mine,,Mothballed,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.104,0.02,,,Underground,Bord and Pillar,5.87,300,Estimate,504,Estimate,Bituminous,Met,,,,,3,2010,-,150,,,-,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.74146,86.3861,Exact,,,,,,,,,,,0.3,0.00,10.9,1.6,0,0,356
M2618,,India,Kharkharee Colliery,Cluster 15,,,https://www.gem.wiki/Kharkharee_Colliery,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.12,0.005,2023,,Underground,,5.84,300,Estimate,394,Estimate,Bituminous,Met,,,,,46,,415,9200,1972,,30,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.77723,86.23908,Exact,,,,,,,,,,,0.1,0.00,10.9,1.6,0,0,356
M2622,,India,Pundi Coal Mine,Kuju Area,,,https://www.gem.wiki/Pundi_coal_mine,,Mothballed,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.55,0.03,,,Surface,Open Pit,-,50,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,,Jharkhand,Southern Asia,Asia,23.8236,85.5218,Exact,,,,,,,,,,,0,0.00,0.8,1.5,0,0,356
M2623,,India,Kumardhubi Coal Mine,Cluster 2,,,https://www.gem.wiki/Kumardhubi_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.1,0.02,2023,,Underground,,6.67,300,Estimate,429,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,18,2022,,,Dhanbad,Jharkhand,Southern Asia,Asia,23.7761,86.7274,Approximate,,,,,,,,,,,0.1,0.00,3.3,1.6,0,0,356
M2624,,India,Bejdih Coal Mine,Cluster 6,,,https://www.gem.wiki/Bejdiha_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.1,0.038,2023,,Underground,,2.42,300,Estimate,431,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,20,2023,,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.6935,86.8753,Exact,,,,,,,,,,,0.2,0.00,3.3,1.6,0,0,356
M2625,,India,Chapuikhas Colliery,Cluster 9,,,https://www.gem.wiki/Chapuikhas_Colliery,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.42,0.0238,2023,,Underground,,4.12,300,Estimate,429,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,50,2023,,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.6545,87.0449,Approximate,,,,,,,,,,,0.1,0.00,3.3,1.6,0,0,356
M2626,,India,Patmohana Coal Mine,"Cluster 6, Patmohna",,,https://www.gem.wiki/Patmohana_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.12,0.05,2023,,Underground,,5.37,300,Estimate,438,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,40,2023,,,,West Bengal,Southern Asia,Asia,23.6853,86.8903,Exact,,,,,,,,,,,0.3,0.00,3.3,1.6,0,0,356
M2634,,India,Khoodia Coal Mine,Cluster 1,,,https://www.gem.wiki/Khoodia_OC_Patch_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.035,0.025,2023,,Underground & Surface,,1.86,60,Estimate,476,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,10,,,,Dhanbad,Jharkhand,Southern Asia,Asia,23.77374,86.72969,Exact,,,,,,,,,,,0,0.00,0.9,1.5,0,0,356
M2635,,India,Maohusudanpur 7 Pit & Incline Coal Mine,"Cluster 10, Madhusudanpur UG",,,https://www.gem.wiki/Maohusudanpur_7_Pit_%26_Incline_Coal_Mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.07,0.02,2023,,Underground,,3.38,300,Estimate,428,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,5,2023,,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.6338,87.2037,Approximate,,,,,,,,,,,0.1,0.00,3.3,1.6,0,0,356
M2636,,India,Methani Coal Mine,"Cluster 6, Mithani UG",,,https://www.gem.wiki/Methani_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.2,0.05,2023,,Underground,,3.48,300,Estimate,438,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,20,2023,,,,West Bengal,Southern Asia,Asia,23.6946,86.8902,Exact,,,,,,,,,,,0.3,0.00,3.3,1.6,0,0,356
M2637,,India,Jogidih Coal Mine,Cluster 3,,,https://www.gem.wiki/Jogidih_coal_mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,0.02,2022,,Underground,,1.67,300,Estimate,382,Estimate,Bituminous,Met,,,,,11,,-,550,,,30,2013,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.80872,86.25766,Exact,,,,,,,,,,,0.3,0.00,10.9,1.6,0,0,356
M2638,,India,Bermo Coal Mine,,,,https://www.gem.wiki/Bermo_Coal_Mine,,Mothballed,,,,Damodar Valley Corp [100%],E100000120315 [100%],,Damodar Valley Corp [100.0%],E100000120315 [100.0%],India,1.9,0.05,,,Surface,Open Pit,1.67,50,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,1951,,-,,,,Bokaro,Jharkhand,Southern Asia,Asia,23.7843,85.9634,Exact,,,,,,,,,,,0.1,0.00,0.8,1.5,0,0,356
M2641,,India,Pure Searsole Coal Mine,Cluster 9,,,https://www.gem.wiki/Pure_Searsole_coal_mine,,Mothballed,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,0.04,,,Surface,Open Pit,-,50,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,,West Bengal,Southern Asia,Asia,23.64547,87.08677,Exact,,,,,,,,,,,0,0.00,0.8,1.5,0,0,356
M2643,,India,Dhemonmain Coal Mine,"Cluster 6, Dhemomain",,,https://www.gem.wiki/Dhemonmain_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.21,0.047,2023,,Underground,,16.23,300,Estimate,431,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,-,,,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.7046,86.9087,Exact,,,,,,,,,,,0.2,0.00,3.3,1.6,0,0,356
M2644,,India,CL Jambad Coal Mine,Cluster 11,,,https://www.gem.wiki/CL_Jambad_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.9,0.058,2023,,Underground,,-,300,Estimate,438,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,25,2023,,,,West Bengal,Southern Asia,Asia,23.65457,87.19794,Exact,,,,,,,,,,,0.3,0.00,3.3,1.6,0,0,356
M2650,,India,Khadsaliya Lignite Mine,,,,https://www.gem.wiki/Khadsaliya_Lignite_Mine,,Operating,,,,GHCL Ltd [100%],E100000131616 [100%],,GHCL Ltd [100.0%],E100000131616 [100.0%],India,*,0.169,2023,,Surface,Open Pit,-,50,Estimate,359,Estimate,Lignite,Thermal,,,,,-,,-,-,2004,,-,,,,Bhavnagar,Gujarat,Southern Asia,Asia,21.6259,72.2397,Exact,,,,,,,,,,,0.2,0.00,0.8,1.5,0,0,356
M2653,,India,Dubeshwari OC Coal Mine,Cluster 5,,,https://www.gem.wiki/Dubeshwari_coal_mine,,Mothballed,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.13,,,,Surface,Open Pit,-,50,Estimate,490,Estimate,Subbituminous,Thermal,,,,,2.5,2022,-,-,,,3,2014,,,,West Bengal,Southern Asia,Asia,23.66039,86.82152,Exact,,,,,,,,,,,0.2,0.00,0.8,1.5,0,0,356
M2654,,India,Hariajam Coal Mine,Cluster 1,,,https://www.gem.wiki/Hariajam_Coal_Mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.08,0.047,2023,,Underground,,3.16,300,Estimate,431,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,25,2016,,,Dhanbad,Jharkhand,Southern Asia,Asia,23.79258,86.69024,Exact,,,,,,,,,,,0.2,0.00,3.3,1.6,0,0,356
M2655,,India,Chinakuri III Coal Mine,Cluster 6,,,https://www.gem.wiki/Chinakuri_III_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.2,0.068,2023,,Underground,,2.09,300,Estimate,439,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,25,2023,,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.6853,86.8596,Exact,,,,,,,,,,,0.4,0.00,3.3,1.6,0,0,356
M2656,,India,Narsamunda Coal Mine,"Cluster 6, Narsamuda",,,https://www.gem.wiki/Narsamunda_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.19,0.05,2023,,Underground,,2.65,300,Estimate,438,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,10,2023,Sodepur,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.6901,86.9149,Exact,,,,,,,,,,,0.3,0.00,3.3,1.6,0,0,356
M2658,,India,Parbelia Coal Mine,Cluster 5,,,https://www.gem.wiki/Parbelia_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.19,0.043,2023,,Underground,,27.3,300,Estimate,431,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,25,2014,,,,West Bengal,Southern Asia,Asia,23.67798,86.8267,Exact,,,,,,,,,,,0.2,0.00,3.3,1.6,0,0,356
M2665,,India,Tikak Colliery,Makum,,,https://www.gem.wiki/Tikak_coal_mine,,Operating,,,,North Eastern Coalfields Ltd [100%],E100001000808 [100%],,Coal India Ltd,E100001000396,India,*,0.2,2023,,Surface,Open Pit,-,50,Estimate,339,Estimate,Subbituminous,Thermal,,,,,24,,-,120,1986,,-,,Makum,Ledo,Tinsukia,Assam,Southern Asia,Asia,27.28329,95.73365,Exact,,,,,,,,,,,0.2,0.00,0.8,1.5,0,0,356
M2666,,India,Piparia Coal Mine,Pipariya UG,,,https://www.gem.wiki/Piparia_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.24,0.11,2022,,Underground,Bord and Pillar,11,300,Estimate,283,Estimate,Subbituminous,Thermal,,,,,4,,39,36,1990,,-,,Umaria,,Umaria,Madhya Pradesh,Southern Asia,Asia,23.5088,80.86711,Exact,,,,,,,,,,,0.6,0.00,3.3,1.6,0,0,356
M2667,,India,Patansaongi Coal Mine,Patansaoungi,,,https://www.gem.wiki/Patansaongi_Coal_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.3,0.0386,2023,,Underground,Bord and Pillar,4.1,300,Estimate,357,Estimate,Subbituminous,Thermal,,,,,13,,-,337,1976,,20,,Kamptee,Patansaongi,Nagpur,Maharashtra,Southern Asia,Asia,21.32307,79.04499,Exact,,,,,,,,,,,0.2,0.00,3.3,1.6,0,0,356
M2668,,India,Central Kajora Coal Mine,Cluster 10,,,https://www.gem.wiki/Central_Kajora_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.25,0.071,2023,,Underground,,2.91,300,Estimate,438,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,20,2023,Raniganj,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.60061,87.18742,Exact,,,,,,,,,,,0.4,0.00,3.3,1.6,0,0,356
M2669,,India,Satgram Coal Mine,"Satgram Incline, Cluster 8",,,https://www.gem.wiki/Satgram_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.6,0.06,2023,,Underground,,7.54,300,Estimate,439,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,30,2023,,,,West Bengal,Southern Asia,Asia,23.6827,87.0703,Exact,,,,,,,,,,,0.3,0.00,3.3,1.6,0,0,356
M2670,,India,Lower Kenda Coal Mine,Cluster 11,,,https://www.gem.wiki/New_Kenda_mines,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.15,0.05,2023,,Underground,,-,300,Estimate,437,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,25,2023,,,,West Bengal,Southern Asia,Asia,23.65038,87.18389,Exact,,,,,,,,,,,0.3,0.00,3.3,1.6,0,0,356
M2671,,India,Khandra Coal Mine,Cluster 11,,,https://www.gem.wiki/Khandra_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.1,0.09,2023,,Underground,,3.88,300,Estimate,443,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,25,2023,,,,West Bengal,Southern Asia,Asia,23.64136,87.22266,Exact,,,,,,,,,,,0.5,0.00,3.3,1.6,0,0,356
